"1676-2649","2016","Journal of Epilepsy and Clinical Neurophysiology","2","3","http://scholar.google.com/citations?view_op=list_hcore&venue=LKFZ_PD1QC0J.2016&hl=en"
"2179-6491","2016","Jornal da Sociedade Brasileira de Fonoaudiologia","12","17","http://scholar.google.com/citations?view_op=list_hcore&venue=6tlwWdUR9EEJ.2016&hl=en"
"0103-863X","2016","Paidéia (Ribeirão Preto)","12","18","http://scholar.google.com/citations?view_op=list_hcore&venue=Y8OzPxw6EQoJ.2016&hl=en"
"1413-9936","2016","Perspectivas em Ciência da Informação","12","17","http://scholar.google.com/citations?view_op=list_hcore&venue=L4VN7Y-UY2cJ.2016&hl=en"
"1414-9893","2016","Psicologia: Ciência e Profissão","14","16","http://scholar.google.com/citations?view_op=list_hcore&venue=U7fA63k8MQUJ.2016&hl=en"
"0104-1428","2016","Polímeros","14","18","http://scholar.google.com/citations?view_op=list_hcore&venue=YiTzgTVtA-4J.2016&hl=en"
"0102-7182","2016","Psicologia & Sociedade","14","17","http://scholar.google.com/citations?view_op=list_hcore&venue=Yjn0ELY5t7AJ.2016&hl=en"
"0104-4230","2016","Revista da Associação Médica Brasileira","20","29","http://scholar.google.com/citations?view_op=list_hcore&venue=prL-u9krMIsJ.2016&hl=en"
"0034-7612","2016","Revista de Administração Pública (RAP)","16","20","http://scholar.google.com/citations?view_op=list_hcore&venue=KOhc3m67gNAJ.2016&hl=en"
"0034-7094","2016","Revista Brasileira de Anestesiologia","16","21","http://scholar.google.com/citations?view_op=list_hcore&venue=LmnaJ_B3sRYJ.2016&hl=en"
"0102-7638","2016","Revista Brasileira de Cirurgia Cardiovascular","15","19","http://scholar.google.com/citations?view_op=list_hcore&venue=DXfvty8GLwEJ.2016&hl=en"
"0103-3352","2016","Revista Brasileira de Ciência Política","12","17","http://scholar.google.com/citations?view_op=list_hcore&venue=Q_f-804K9OAJ.2016&hl=en"
"0102-6909","2016","Revista Brasileira de Ciências Sociais","13","18","http://scholar.google.com/citations?view_op=list_hcore&venue=NG-J_JcgxQoJ.2016&hl=en"
"1415-4366","2016","Revista Brasileira de Engenharia Agrícola e Ambiental","18","23","http://scholar.google.com/citations?view_op=list_hcore&venue=9qxZokX_dy0J.2016&hl=en"
"1413-2478","2016","Revista Brasileira de Educação","17","32","http://scholar.google.com/citations?view_op=list_hcore&venue=dqOzUCUM2tAJ.2016&hl=en"
"0100-5502","2016","Revista Brasileira de Educação Médica","17","19","http://scholar.google.com/citations?view_op=list_hcore&venue=bt4SXVtdOZwJ.2016&hl=en"
"2176-6681","2016","Revista Brasileira de Estudos Pedagógicos","10","17","http://scholar.google.com/citations?view_op=list_hcore&venue=4XaFRX-w1hkJ.2016&hl=en"
"1413-3555","2016","Revista Brasileira de Fisioterapia","22","26","http://scholar.google.com/citations?view_op=list_hcore&venue=5ZuAghxx9dEJ.2016&hl=en"
"0100-7203","2016","Revista Brasileira de Ginecologia e Obstetrícia","15","20","http://scholar.google.com/citations?view_op=list_hcore&venue=3POhagzM0ZwJ.2016&hl=en"
"0102-0188","2016","Revista Brasileira de História","6","7","http://scholar.google.com/citations?view_op=list_hcore&venue=LKuRxxc1Ha8J.2016&hl=en"
"0102-7786","2016","Revista Brasileira de Meteorologia","5","6","http://scholar.google.com/citations?view_op=list_hcore&venue=uoLxZAOZhMIJ.2016&hl=en"
"0034-7280","2016","Revista Brasileira de Oftalmologia","8","9","http://scholar.google.com/citations?view_op=list_hcore&venue=PAbuBCRAWEoJ.2016&hl=en"
"1516-4446","2016","Revista Brasileira de Psiquiatria","25","33","http://scholar.google.com/citations?view_op=list_hcore&venue=zq6_5Ki2DNsJ.2016&hl=en"
"0034-7329","2016","Revista Brasileira de Política Internacional","12","20","http://scholar.google.com/citations?view_op=list_hcore&venue=57HzHPuZeosJ.2016&hl=en"
"0482-5004","2016","Revista Brasileira de Reumatologia","21","29","http://scholar.google.com/citations?view_op=list_hcore&venue=j4SgsoUOg9wJ.2016&hl=en"
"0101-3122","2016","Revista Brasileira de Sementes","10","11","http://scholar.google.com/citations?view_op=list_hcore&venue=JWc4ZuqQ0r8J.2016&hl=en"
"0303-7657","2016","Revista Brasileira de Saúde Ocupacional","13","19","http://scholar.google.com/citations?view_op=list_hcore&venue=vd527QGXn-UJ.2016&hl=en"
"0103-507X","2016","Revista Brasileira de Terapia Intensiva","12","13","http://scholar.google.com/citations?view_op=list_hcore&venue=qG_rdfkxMYkJ.2016&hl=en"
"1516-3598","2016","Revista Brasileira de Zootecnia","16","19","http://scholar.google.com/citations?view_op=list_hcore&venue=7cO_WjiFFCkJ.2016&hl=en"
"0100-6991","2016","Revista do Colégio Brasileiro de Cirurgiões","14","16","http://scholar.google.com/citations?view_op=list_hcore&venue=bIH8r0NwJAIJ.2016&hl=en"
"0080-6234","2016","Revista da Escola de Enfermagem da USP","30","35","http://scholar.google.com/citations?view_op=list_hcore&venue=TPepcHlgg3cJ.2016&hl=en"
"0104-026X","2016","Revista Estudos Feministas","14","21","http://scholar.google.com/citations?view_op=list_hcore&venue=2725jPh9AnsJ.2016&hl=en"
"1983-3083","2016","Revista da Educação Física/UEM","2","3","http://scholar.google.com/citations?view_op=list_hcore&venue=EAGq09nYLH0J.2016&hl=en"
"0101-3157","2016","Revista de Economia Política","16","24","http://scholar.google.com/citations?view_op=list_hcore&venue=oykVT9YOhasJ.2016&hl=en"
"0103-0582","2016","Revista Paulista de Pediatria","15","18","http://scholar.google.com/citations?view_op=list_hcore&venue=Iw9Grh-m-ucJ.2016&hl=en"
"1516-8034","2016","Revista da Sociedade Brasileira de Fonoaudiologia","14","18","http://scholar.google.com/citations?view_op=list_hcore&venue=I0etnFiHgeIJ.2016&hl=en"
"0037-8682","2016","Revista da Sociedade Brasileira de Medicina Tropical","22","28","http://scholar.google.com/citations?view_op=list_hcore&venue=CvLJK0n5vE4J.2016&hl=en"
"0104-4478","2016","Revista de Sociologia e Política","16","19","http://scholar.google.com/citations?view_op=list_hcore&venue=-OWpVon0uxwJ.2016&hl=en"
"0103-9016","2016","Scientia Agricola (Piracicaba, Brazil)","18","22","http://scholar.google.com/citations?view_op=list_hcore&venue=ympKabGtqhgJ.2016&hl=en"
"0102-6992","2016","Sociedade e Estado","10","17","http://scholar.google.com/citations?view_op=list_hcore&venue=r2_8mwt00HwJ.2016&hl=en"
"1516-3180","2016","Sao Paulo Medical Journal","23","55","http://scholar.google.com/citations?view_op=list_hcore&venue=FiX1Uht59jIJ.2016&hl=en"
"1984-4670","2016","Zoologia (Curitiba)","13","17","http://scholar.google.com/citations?view_op=list_hcore&venue=Xb1OlQQbjKYJ.2016&hl=en"
"0001-3765","2016","Anais da Academia Brasileira de Ciências","18","25","http://scholar.google.com/citations?view_op=list_hcore&venue=bX4P_wJmg48J.2016&hl=en"
"0004-2803","2016","Arquivos de Gastroenterologia","17","23","http://scholar.google.com/citations?view_op=list_hcore&venue=ogeWhmrBETcJ.2016&hl=en"
"0011-5258","2016","Dados: revista de ciências sociais","14","25","http://scholar.google.com/citations?view_op=list_hcore&venue=GJLD0gbym6AJ.2016&hl=en"
"0021-7557","2016","Jornal de Pediatria (Rio J.)","28","30","http://scholar.google.com/citations?view_op=list_hcore&venue=sDtzz1KgWEsJ.2016&hl=en"
"0034-7140","2016","Revista Brasileira de Economia","9","13","http://scholar.google.com/citations?view_op=list_hcore&venue=vapSJJhv_20J.2016&hl=en"
"0034-7167","2016","Revista Brasileira de Enfermagem","27","33","http://scholar.google.com/citations?view_op=list_hcore&venue=dEBl8VQxnE8J.2016&hl=en"
"0034-7590","2016","Revista de Administração de Empresas","20","28","http://scholar.google.com/citations?view_op=list_hcore&venue=HKr8r12kC4QJ.2016&hl=en"
"0036-4665","2016","Revista do Instituto de Medicina Tropical de São Paulo","18","21","http://scholar.google.com/citations?view_op=list_hcore&venue=4q1cTleD-CsJ.2016&hl=en"
"0044-5967","2016","Acta Amazonica","13","18","http://scholar.google.com/citations?view_op=list_hcore&venue=AJkHYByiYkgJ.2016&hl=en"
"0047-2085","2016","Jornal Brasileiro de Psiquiatria","13","17","http://scholar.google.com/citations?view_op=list_hcore&venue=lKZ5PaUhU6QJ.2016&hl=en"
"0073-4721","2016","Iheringia. Série Zoologia","9","13","http://scholar.google.com/citations?view_op=list_hcore&venue=71xC5Ht999MJ.2016&hl=en"
"0074-0276","2016","Memórias do Instituto Oswaldo Cruz","29","38","http://scholar.google.com/citations?view_op=list_hcore&venue=3M1TLh9YYg8J.2016&hl=en"
"0080-2107","2016","Revista de Administração (São Paulo)","8","11","http://scholar.google.com/citations?view_op=list_hcore&venue=qn2EkEbP13AJ.2016&hl=en"
"0085-5626","2016","Revista Brasileira de Entomologia","14","18","http://scholar.google.com/citations?view_op=list_hcore&venue=oyOSfEglisQJ.2016&hl=en"
"0100-2945","2016","Revista Brasileira de Fruticultura","10","13","http://scholar.google.com/citations?view_op=list_hcore&venue=OSILn3uzY5gJ.2016&hl=en"
"0100-3984","2016","Radiologia Brasileira","12","16","http://scholar.google.com/citations?view_op=list_hcore&venue=5Z8b3d1qUXEJ.2016&hl=en"
"0100-4042","2016","Química Nova","17","19","http://scholar.google.com/citations?view_op=list_hcore&venue=efhjgv09d1wJ.2016&hl=en"
"0100-5405","2016","Summa Phytopathologica","6","6","http://scholar.google.com/citations?view_op=list_hcore&venue=LQL8oizVySMJ.2016&hl=en"
"0100-6762","2016","Revista Árvore","11","15","http://scholar.google.com/citations?view_op=list_hcore&venue=hbTz6uOMfPQJ.2016&hl=en"
"0100-6916","2016","Engenharia Agrícola","11","13","http://scholar.google.com/citations?view_op=list_hcore&venue=BIL0dAhYLoUJ.2016&hl=en"
"0100-8358","2016","Planta Daninha","9","14","http://scholar.google.com/citations?view_op=list_hcore&venue=NrRlaxPcZfYJ.2016&hl=en"
"0100-8587","2016","Religião & Sociedade","6","8","http://scholar.google.com/citations?view_op=list_hcore&venue=--_B9xK0iDgJ.2016&hl=en"
"0101-2800","2016","Jornal Brasileiro de Nefrologia","18","32","http://scholar.google.com/citations?view_op=list_hcore&venue=Ogi_hapaMSgJ.2016&hl=en"
"0101-3173","2016","Trans/Form/Ação","5","7","http://scholar.google.com/citations?view_op=list_hcore&venue=zUqziDyiVVAJ.2016&hl=en"
"0101-3289","2016","Revista Brasileira de Ciências do Esporte","12","16","http://scholar.google.com/citations?view_op=list_hcore&venue=4cXudnkyD3UJ.2016&hl=en"
"0101-3300","2016","Novos Estudos-CEBRAP","14","20","http://scholar.google.com/citations?view_op=list_hcore&venue=3YQEdp0IK-4J.2016&hl=en"
"0101-4161","2016","Estudos Econômicos (São Paulo)","9","14","http://scholar.google.com/citations?view_op=list_hcore&venue=841XhkKdNaoJ.2016&hl=en"
"0101-6083","2016","Revista de psiquiatria clínica (São Paulo)","16","25","http://scholar.google.com/citations?view_op=list_hcore&venue=W2fmOP_CMjgJ.2016&hl=en"
"0101-7330","2016","Educação & Sociedade","19","30","http://scholar.google.com/citations?view_op=list_hcore&venue=xKDShcEg5pUJ.2016&hl=en"
"0101-7438","2016","Pesquisa Operacional","11","13","http://scholar.google.com/citations?view_op=list_hcore&venue=msKqD2SwkIgJ.2016&hl=en"
"0101-9074","2016","História (São Paulo)","6","8","http://scholar.google.com/citations?view_op=list_hcore&venue=Hl2v8exCYjkJ.2016&hl=en"
"2177-7055","2016","Sequência (Florianópolis)","5","5","http://scholar.google.com/citations?view_op=list_hcore&venue=5rcPSeQEoQUJ.2016&hl=en"
"0102-0935","2016","Arquivo Brasileiro de Medicina Veterinária e Zootecnia","11","15","http://scholar.google.com/citations?view_op=list_hcore&venue=Oa4TRMlR3dIJ.2016&hl=en"
"0102-3098","2016","Revista Brasileira de Estudos de População","9","12","http://scholar.google.com/citations?view_op=list_hcore&venue=7IND8N7qB5IJ.2016&hl=en"
"0102-6445","2016","Lua Nova: Revista de Cultura e Política","13","21","http://scholar.google.com/citations?view_op=list_hcore&venue=bs_1ENgjMwMJ.2016&hl=en"
"0102-6720","2016","ABCD. Arquivos Brasileiros de Cirurgia Digestiva","10","14","http://scholar.google.com/citations?view_op=list_hcore&venue=jjpMeYv9MX0J.2016&hl=en"
"1983-1447","2016","Revista Gaúcha de Enfermagem","24","29","http://scholar.google.com/citations?view_op=list_hcore&venue=bs3gE0jgSYoJ.2016&hl=en"
"0102-7972","2016","Psicologia: Reflexão e Crítica","16","20","http://scholar.google.com/citations?view_op=list_hcore&venue=fBNy2oGhdQgJ.2016&hl=en"
"0102-8529","2016","Contexto Internacional","9","18","http://scholar.google.com/citations?view_op=list_hcore&venue=BQ14I7G3D64J.2016&hl=en"
"1980-6523","2016","Revista Odonto Ciência","7","8","http://scholar.google.com/citations?view_op=list_hcore&venue=9tSS2vmAsUEJ.2016&hl=en"
"0103-1104","2016","Saúde em Debate","2","6","http://scholar.google.com/citations?view_op=list_hcore&venue=MR-mitYyqlwJ.2016&hl=en"
"0103-1759","2016","Sba: Controle & Automação Sociedade Brasileira de Automatica","5","7","http://scholar.google.com/citations?view_op=list_hcore&venue=Y6t7Jora190J.2016&hl=en"
"0103-2003","2016","Revista de Economia e Sociologia Rural","12","16","http://scholar.google.com/citations?view_op=list_hcore&venue=D6fqbf2s-O4J.2016&hl=en"
"0103-2070","2016","Tempo Social","8","12","http://scholar.google.com/citations?view_op=list_hcore&venue=dauDSR4lx6MJ.2016&hl=en"
"0103-2186","2016","Estudos Históricos (Rio de Janeiro)","2","2","http://scholar.google.com/citations?view_op=list_hcore&venue=turoYrTtjmQJ.2016&hl=en"
"0103-4979","2016","Caderno CRH","13","22","http://scholar.google.com/citations?view_op=list_hcore&venue=NhTxeIFUv2YJ.2016&hl=en"
"0103-5150","2016","Revista Fisioterapia em Movimento","15","20","http://scholar.google.com/citations?view_op=list_hcore&venue=3Z3lZnBpVBsJ.2016&hl=en"
"0103-5665","2016","Psicologia Clínica","8","12","http://scholar.google.com/citations?view_op=list_hcore&venue=oBcmY_QstYEJ.2016&hl=en"
"0103-6351","2016","Nova Economia","8","14","http://scholar.google.com/citations?view_op=list_hcore&venue=EsNjTR-BXE8J.2016&hl=en"
"0103-6440","2016","Brazilian Dental Journal","23","32","http://scholar.google.com/citations?view_op=list_hcore&venue=GEuXAWWxFJAJ.2016&hl=en"
"0103-6513","2016","Production","11","14","http://scholar.google.com/citations?view_op=list_hcore&venue=7ujSnxiRXmQJ.2016&hl=en"
"0103-6564","2016","Psicologia USP","9","12","http://scholar.google.com/citations?view_op=list_hcore&venue=zIBeDtrp6OAJ.2016&hl=en"
"0103-7307","2016","Pro-Posições","4","5","http://scholar.google.com/citations?view_op=list_hcore&venue=oi0rfFkcrhIJ.2016&hl=en"
"1980-5098","2016","Ciência Florestal (English)","10","14","http://scholar.google.com/citations?view_op=list_hcore&venue=Yd5AIRZmZpcJ.2016&hl=en"
"0104-0707","2016","Texto & Contexto-Enfermagem","27","34","http://scholar.google.com/citations?view_op=list_hcore&venue=wEPMPbeFwusJ.2016&hl=en"
"0104-1169","2016","Revista Latino-Americana de Enfermagem","30","35","http://scholar.google.com/citations?view_op=list_hcore&venue=63Ozf19oT00J.2016&hl=en"
"0104-1290","2016","Saúde e Sociedade","23","30","http://scholar.google.com/citations?view_op=list_hcore&venue=y2x1QZhQ0JwJ.2016&hl=en"
"2179-8397","2016","Revista Brasileira de Cardiologia Invasiva","7","10","http://scholar.google.com/citations?view_op=list_hcore&venue=iKSOFC2W5XEJ.2016&hl=en"
"0104-4060","2016","Educar em Revista","13","17","http://scholar.google.com/citations?view_op=list_hcore&venue=sjFzBTuJFK4J.2016&hl=en"
"0104-5970","2016","História, Ciências, Saúde-Manguinhos","9","13","http://scholar.google.com/citations?view_op=list_hcore&venue=mNfgbldzrIsJ.2016&hl=en"
"0104-6276","2016","Opinião Pública","12","16","http://scholar.google.com/citations?view_op=list_hcore&venue=VeRtz3bYBcoJ.2016&hl=en"
"0104-6632","2016","Brazilian Journal of Chemical Engineering","18","23","http://scholar.google.com/citations?view_op=list_hcore&venue=_ht5aWNnqjsJ.2016&hl=en"
"0104-7183","2016","Horizontes Antropológicos","10","16","http://scholar.google.com/citations?view_op=list_hcore&venue=-dr5FzNATvwJ.2016&hl=en"
"0104-7760","2016","Cerne","10","11","http://scholar.google.com/citations?view_op=list_hcore&venue=dGKE8lCehvcJ.2016&hl=en"
"0104-8333","2016","Cadernos Pagu","4","5","http://scholar.google.com/citations?view_op=list_hcore&venue=HWV-T4EoJ3UJ.2016&hl=en"
"0104-9224","2016","Soldagem & Inspeção","4","8","http://scholar.google.com/citations?view_op=list_hcore&venue=C9UZ9hpvt3YJ.2016&hl=en"
"0104-9313","2016","Mana","9","13","http://scholar.google.com/citations?view_op=list_hcore&venue=Fc8Nh9bn0eMJ.2016&hl=en"
"0365-0596","2016","Anais Brasileiros de Dermatologia","26","38","http://scholar.google.com/citations?view_op=list_hcore&venue=EXCIFC0lbDgJ.2016&hl=en"
"1413-2311","2016","REAd. Revista Eletrônica de Administração (Porto Alegre)","2","4","http://scholar.google.com/citations?view_op=list_hcore&venue=tISS5soBmxYJ.2016&hl=en"
"1413-7054","2016","Ciência e Agrotecnologia","14","19","http://scholar.google.com/citations?view_op=list_hcore&venue=sA82HGT-v1AJ.2016&hl=en"
"1413-7372","2016","Psicologia em Estudo","13","18","http://scholar.google.com/citations?view_op=list_hcore&venue=YH-5llS_kJAJ.2016&hl=en"
"1413-7704","2016","Tempo","5","8","http://scholar.google.com/citations?view_op=list_hcore&venue=poosunFT4psJ.2016&hl=en"
"1413-7852","2016","Acta Ortopédica Brasileira","9","10","http://scholar.google.com/citations?view_op=list_hcore&venue=DABtSva9cxIJ.2016&hl=en"
"1413-8050","2016","Economia Aplicada","8","13","http://scholar.google.com/citations?view_op=list_hcore&venue=MCHzk5aKX-wJ.2016&hl=en"
"1413-8271","2016","Psico-USF","11","15","http://scholar.google.com/citations?view_op=list_hcore&venue=qfaIBPtnHn0J.2016&hl=en"
"1413-8557","2016","Psicologia Escolar e Educacional","13","16","http://scholar.google.com/citations?view_op=list_hcore&venue=xeFgcxs_e0MJ.2016&hl=en"
"1413-8670","2016","Brazilian Journal of Infectious Diseases","23","29","http://scholar.google.com/citations?view_op=list_hcore&venue=_qV8XOKvZ_gJ.2016&hl=en"
"2236-3459","2016","História da Educação","5","6","http://scholar.google.com/citations?view_op=list_hcore&venue=nfAcIX0wc2AJ.2016&hl=en"
"1414-4077","2016","Avaliação: Revista da Avaliação da Educação Superior (Campinas)","3","4","http://scholar.google.com/citations?view_op=list_hcore&venue=Ml2lpqVq7uIJ.2016&hl=en"
"1414-8145","2016","Escola Anna Nery","23","28","http://scholar.google.com/citations?view_op=list_hcore&venue=bRc9i4cH-2wJ.2016&hl=en"
"1415-4714","2016","Revista Latinoamericana de Psicopatologia Fundamental","8","15","http://scholar.google.com/citations?view_op=list_hcore&venue=ktpEbtIR51UJ.2016&hl=en"
"1415-4757","2016","Genetics and Molecular Biology","20","27","http://scholar.google.com/citations?view_op=list_hcore&venue=ZxNW5WEhtLIJ.2016&hl=en"
"1415-5273","2016","Revista de Nutrição","16","21","http://scholar.google.com/citations?view_op=list_hcore&venue=zyVDL2JWvO4J.2016&hl=en"
"1980-0037","2016","Revista Brasileira de Cineantropometria & Desempenho Humano","15","19","http://scholar.google.com/citations?view_op=list_hcore&venue=4sT9tIx1qioJ.2016&hl=en"
"1980-6574","2016","Motriz : Revista de Educação Física","12","16","http://scholar.google.com/citations?view_op=list_hcore&venue=5PaZpOMWY98J.2016&hl=en"
"1415-9848","2016","Revista de Economia Contemporânea","3","4","http://scholar.google.com/citations?view_op=list_hcore&venue=6BB3V-SeO9oJ.2016&hl=en"
"1516-0572","2016","Revista Brasileira de Plantas Medicinais","14","18","http://scholar.google.com/citations?view_op=list_hcore&venue=kXo5LJsOW6gJ.2016&hl=en"
"1516-1439","2016","Materials Research","17","21","http://scholar.google.com/citations?view_op=list_hcore&venue=wOiNsf9GZZ8J.2016&hl=en"
"1516-1846","2016","Revista CEFAC","16","20","http://scholar.google.com/citations?view_op=list_hcore&venue=XMeJEFPZGkkJ.2016&hl=en"
"1516-635X","2016","Revista Brasileira de Ciência Avícola","10","11","http://scholar.google.com/citations?view_op=list_hcore&venue=Eecvn5ORKS0J.2016&hl=en"
"1516-8484","2016","Revista Brasileira de Hematologia e Hemoterapia","12","16","http://scholar.google.com/citations?view_op=list_hcore&venue=atlKPACzeBIJ.2016&hl=en"
"1516-8913","2016","Brazilian Archives of Biology and Technology","17","21","http://scholar.google.com/citations?view_op=list_hcore&venue=VhV8ZrZPJM0J.2016&hl=en"
"1517-106X","2016","Alea: Estudos Neolatinos","4","8","http://scholar.google.com/citations?view_op=list_hcore&venue=gERBuAnx9iUJ.2016&hl=en"
"1517-3151","2016","Revista Brasileira de Engenharia Biomédica","6","9","http://scholar.google.com/citations?view_op=list_hcore&venue=2alqFFUHJeQJ.2016&hl=en"
"1517-4522","2016","Sociologias","15","19","http://scholar.google.com/citations?view_op=list_hcore&venue=waSiMp5BBe8J.2016&hl=en"
"1517-7076","2016","Matéria (Rio de Janeiro)","5","8","http://scholar.google.com/citations?view_op=list_hcore&venue=IxCvWQL5maMJ.2016&hl=en"
"1517-7599","2016","Per Musi","2","3","http://scholar.google.com/citations?view_op=list_hcore&venue=onWb8KQbHfEJ.2016&hl=en"
"1517-8382","2016","Brazilian Journal of Microbiology","21","25","http://scholar.google.com/citations?view_op=list_hcore&venue=jlj_5MkmcHcJ.2016&hl=en"
"1517-8692","2016","Revista brasileira de medicina do esporte","12","14","http://scholar.google.com/citations?view_op=list_hcore&venue=UroL5WALrS4J.2016&hl=en"
"1517-9702","2016","Educação e Pesquisa","17","26","http://scholar.google.com/citations?view_op=list_hcore&venue=VxQ9IrOR6jwJ.2016&hl=en"
"1518-7012","2016","Interações (Campo Grande)","2","2","http://scholar.google.com/citations?view_op=list_hcore&venue=U3le3Wx4I6MJ.2016&hl=en"
"1984-7033","2016","Crop Breeding and Applied Biotechnology","12","14","http://scholar.google.com/citations?view_op=list_hcore&venue=vP3YoVLEONoJ.2016&hl=en"
"1519-3829","2016","Revista Brasileira de Saúde Materno Infantil","13","17","http://scholar.google.com/citations?view_op=list_hcore&venue=x8oRXv39Vr0J.2016&hl=en"
